,ID
ATM,52f2ab2ebcbc57f1066b8b56
Abruzzo Restaurant,55a5a1ebe4b013909087cbb6
Acai House,5294c7523cf9994f4e043a62
Accessories Store,4bf58dd8d48988d102951735
Acehnese Restaurant,52960eda3cf9994f4e043ac9
Acupuncturist,52e81612bcbc57f1066b7a3b
Adult Boutique,5267e446e4b0ec79466e48c4
Adult Education Center,56aa371ce4b08b9a8d573570
Advertising Agency,52e81612bcbc57f1066b7a3d
Afghan Restaurant,503288ae91d4c4b30a586d67
African Restaurant,4bf58dd8d48988d1c8941735
Agriturismo,55a5a1ebe4b013909087cb7c
Airport,4bf58dd8d48988d1ed931735
Airport Food Court,4bf58dd8d48988d1ef931735
Airport Gate,4bf58dd8d48988d1f0931735
Airport Lounge,4eb1bc533b7b2c5b1d4306cb
Airport Service,56aa371be4b08b9a8d57352f
Airport Terminal,4bf58dd8d48988d1eb931735
Airport Tram,4bf58dd8d48988d1ec931735
Alsatian Restaurant,57558b36e4b065ecebd306b6
Alternative Healer,52e81612bcbc57f1066b7a3c
American Restaurant,4bf58dd8d48988d14e941735
Amphitheater,56aa371be4b08b9a8d5734db
Andhra Restaurant,54135bf5e4b08f3d2429dfe5
Anhui Restaurant,52af3a5e3cf9994f4e043bea
Animal Shelter,4e52d2d203646f7c19daa8ae
Antique Shop,4bf58dd8d48988d116951735
Aosta Restaurant,55a5a1ebe4b013909087cba7
Apple Wine Pub,56aa371ce4b08b9a8d573583
Apres Ski Bar,4bf58dd8d48988d1ea941735
Aquarium,4fceea171983d5d06c3e9823
Arcade,4bf58dd8d48988d1e1931735
Arepa Restaurant,4bf58dd8d48988d152941735
Argentinian Restaurant,4bf58dd8d48988d107941735
Art Gallery,4bf58dd8d48988d1e2931735
Art Museum,4bf58dd8d48988d18f941735
Art Studio,58daa1558bbb0b01f18ec1d6
Arts & Crafts Store,4bf58dd8d48988d127951735
Arts & Entertainment,4d4b7104d754a06370d81259
Ash and Haleem Place,58daa1558bbb0b01f18ec1bc
Asian Restaurant,4bf58dd8d48988d142941735
Assisted Living,5032891291d4c4b30a586d68
Astrologer,52f2ab2ebcbc57f1066b8b43
Athletics & Sports,4f4528bc4b90abdf24c9de85
Auditorium,4bf58dd8d48988d173941735
Australian Restaurant,4bf58dd8d48988d169941735
Austrian Restaurant,52e81612bcbc57f1066b7a01
Auto Dealership,4eb1c1623b7b52c0e1adc2ec
Auto Garage,52f2ab2ebcbc57f1066b8b44
Auto Workshop,56aa371be4b08b9a8d5734d3
Automotive Shop,4bf58dd8d48988d124951735
Auvergne Restaurant,57558b36e4b065ecebd306b8
Awadhi Restaurant,54135bf5e4b08f3d2429dff3
BBQ Joint,4bf58dd8d48988d1df931735
Baby Store,52f2ab2ebcbc57f1066b8b32
Badminton Court,52e81612bcbc57f1066b7a2b
Bagel Shop,4bf58dd8d48988d179941735
Baggage Claim,5744ccdfe4b0c0459246b4e5
Baggage Locker,5744ccdfe4b0c0459246b4e8
Baiano Restaurant,52939ae13cf9994f4e043a3b
Bakery,4bf58dd8d48988d16a941735
Balinese Restaurant,52960eda3cf9994f4e043acb
Ballroom,56aa371be4b08b9a8d5734cf
Bangladeshi Restaurant,5e179ee74ae8e90006e9a746
Bank,4bf58dd8d48988d10a951735
Bar,4bf58dd8d48988d116941735
Baseball Field,4bf58dd8d48988d1e8941735
Baseball Stadium,4bf58dd8d48988d18c941735
Basilicata Restaurant,55a5a1ebe4b013909087cba1
Basketball Court,4bf58dd8d48988d1e1941735
Basketball Stadium,4bf58dd8d48988d18b941735
Basque Restaurant,57558b36e4b065ecebd306bc
Bath House,52e81612bcbc57f1066b7a27
Bathing Area,52e81612bcbc57f1066b7a28
Batik Shop,56aa371be4b08b9a8d5734cb
Bavarian Restaurant,56aa371ce4b08b9a8d573572
Bay,56aa371be4b08b9a8d573544
Beach,4bf58dd8d48988d1e2941735
Beach Bar,52e81612bcbc57f1066b7a0d
Bed & Breakfast,4bf58dd8d48988d1f8931735
Beer Bar,56aa371ce4b08b9a8d57356c
Beer Garden,4bf58dd8d48988d117941735
Beer Store,5370f356bcbc57f1066c94c2
Beijing Restaurant,52af3a723cf9994f4e043bec
Belarusian Restaurant,52e928d0bcbc57f1066b7e97
Belgian Restaurant,52e81612bcbc57f1066b7a02
Bengali Restaurant,54135bf5e4b08f3d2429dff5
Betawinese Restaurant,52960eda3cf9994f4e043aca
Betting Shop,52f2ab2ebcbc57f1066b8b40
Big Box Store,52f2ab2ebcbc57f1066b8b42
Bike Rental / Bike Share,4e4c9077bd41f78e849722f9
Bike Shop,4bf58dd8d48988d115951735
Bike Trail,56aa371be4b08b9a8d57355e
Bistro,52e81612bcbc57f1066b79f1
Blini House,52e928d0bcbc57f1066b7e9d
Board Shop,4bf58dd8d48988d1f1941735
Boarding House,4f4530a74b9074f6e4fb0100
Boat Rental,5744ccdfe4b0c0459246b4c1
Boat or Ferry,4bf58dd8d48988d12d951735
Bookstore,4bf58dd8d48988d114951735
Border Crossing,52f2ab2ebcbc57f1066b8b4b
Borek Place,530faca9bcbc57f1066bc2f3
Bosnian Restaurant,58daa1558bbb0b01f18ec1ee
Bossam/Jokbal Restaurant,56aa371be4b08b9a8d5734e4
Botanero,58daa1558bbb0b01f18ec1d9
Botanical Garden,52e81612bcbc57f1066b7a22
Bougatsa Shop,53d6c1b0e4b02351e88a83e8
Boutique,4bf58dd8d48988d104951735
Bowling Alley,4bf58dd8d48988d1e4931735
Bowling Green,52e81612bcbc57f1066b7a2f
Boxing Gym,52f2ab2ebcbc57f1066b8b47
Brasserie,57558b36e4b065ecebd306b0
Bratwurst Joint,56aa371ce4b08b9a8d57358e
Brazilian Restaurant,4bf58dd8d48988d16b941735
Breakfast Spot,4bf58dd8d48988d143941735
Breton Restaurant,57558b36e4b065ecebd306c5
Brewery,50327c8591d4c4b30a586d5d
Bridal Shop,4bf58dd8d48988d11a951735
Bridge,4bf58dd8d48988d1df941735
Bubble Tea Shop,52e81612bcbc57f1066b7a0c
Buddhist Temple,52e81612bcbc57f1066b7a3e
Buffet,52e81612bcbc57f1066b79f4
Building,4bf58dd8d48988d130941735
Bulgarian Restaurant,56aa371be4b08b9a8d5734f3
Bunsik Restaurant,56aa371be4b08b9a8d5734f0
Burger Joint,4bf58dd8d48988d16c941735
Burgundian Restaurant,57558b36e4b065ecebd306c0
Burmese Restaurant,56aa371be4b08b9a8d573568
Burrito Place,4bf58dd8d48988d153941735
Bus Line,4bf58dd8d48988d12b951735
Bus Station,4bf58dd8d48988d1fe931735
Bus Stop,52f2ab2ebcbc57f1066b8b4f
Business Center,56aa371be4b08b9a8d573517
Business Service,5453de49498eade8af355881
Butcher,4bf58dd8d48988d11d951735
Cable Car,52f2ab2ebcbc57f1066b8b50
Cafeteria,4bf58dd8d48988d128941735
Café,4bf58dd8d48988d16d941735
Cajun / Creole Restaurant,4bf58dd8d48988d17a941735
Calabria Restaurant,55a5a1ebe4b013909087cba4
Cambodian Restaurant,52e81612bcbc57f1066b7a03
Camera Store,4eb1bdf03b7b55596b4a7491
Campaign Office,5032764e91d4c4b30a586d5a
Campanian Restaurant,55a5a1ebe4b013909087cb95
Campground,4bf58dd8d48988d1e4941735
Canal,56aa371be4b08b9a8d573562
Canal Lock,56aa371be4b08b9a8d57353b
Candy Store,4bf58dd8d48988d117951735
Cantonese Restaurant,52af3a7c3cf9994f4e043bed
Capitol Building,4bf58dd8d48988d12a941735
Car Wash,4f04ae1f2fb6e1c99f3db0ba
Caribbean Restaurant,4bf58dd8d48988d144941735
Carpet Store,52f2ab2ebcbc57f1066b8b2a
Casino,4bf58dd8d48988d17c941735
Castle,50aaa49e4b90af0d42d5de11
Catalan Restaurant,57558b36e4b065ecebd306cb
Caucasian Restaurant,5293a7d53cf9994f4e043a45
Cave,56aa371be4b08b9a8d573511
Cemetery,4bf58dd8d48988d15c941735
Cemevi,58daa1558bbb0b01f18ec1eb
Central Brazilian Restaurant,52939a9e3cf9994f4e043a36
Ch'ti Restaurant,57558b36e4b065ecebd306ce
Cha Chaan Teng,58daa1558bbb0b01f18ec1d3
Chaat Place,54135bf5e4b08f3d2429dfe2
Champagne Bar,52e81612bcbc57f1066b7a0e
Check Cashing Service,52f2ab2ebcbc57f1066b8b2d
Cheese Shop,4bf58dd8d48988d11e951735
Chettinad Restaurant,54135bf5e4b08f3d2429dff2
Child Care Service,5744ccdfe4b0c0459246b4c7
Chinese Aristocrat Restaurant,52af3a673cf9994f4e043beb
Chinese Breakfast Place,52af3a903cf9994f4e043bee
Chinese Restaurant,4bf58dd8d48988d145941735
Chiropractor,52e81612bcbc57f1066b7a3a
Chocolate Shop,52f2ab2ebcbc57f1066b8b31
Christmas Market,52f2ab2ebcbc57f1066b8b3b
Church,4bf58dd8d48988d132941735
Churrascaria,52939a643cf9994f4e043a33
Cidery,5e189fd6eee47d000759bbfd
Cigkofte Place,530faca9bcbc57f1066bc2f4
Circus,52e81612bcbc57f1066b79e7
Circus School,52e81612bcbc57f1066b7a43
City,50aa9e094b90af0d42d5de0d
City Hall,4bf58dd8d48988d129941735
Climbing Gym,503289d391d4c4b30a586d6a
Clothing Store,4bf58dd8d48988d103951735
Club House,52e81612bcbc57f1066b7a35
Cocktail Bar,4bf58dd8d48988d11e941735
Coffee Roaster,5e18993feee47d000759b256
Coffee Shop,4bf58dd8d48988d1e0931735
College & University,4d4b7105d754a06372d81259
College Academic Building,4bf58dd8d48988d198941735
College Administrative Building,4bf58dd8d48988d197941735
College Arts Building,4bf58dd8d48988d199941735
College Auditorium,4bf58dd8d48988d1af941735
College Baseball Diamond,4bf58dd8d48988d1bb941735
College Basketball Court,4bf58dd8d48988d1ba941735
College Bookstore,4bf58dd8d48988d1b1941735
College Cafeteria,4bf58dd8d48988d1a1941735
College Classroom,4bf58dd8d48988d1a0941735
College Communications Building,4bf58dd8d48988d19a941735
College Cricket Pitch,4bf58dd8d48988d1b9941735
College Engineering Building,4bf58dd8d48988d19e941735
College Football Field,4bf58dd8d48988d1b8941735
College Gym,4bf58dd8d48988d1b2941735
College History Building,4bf58dd8d48988d19d941735
College Hockey Rink,4bf58dd8d48988d1b5941735
College Lab,4bf58dd8d48988d1a5941735
College Library,4bf58dd8d48988d1a7941735
College Math Building,4bf58dd8d48988d19c941735
College Quad,4bf58dd8d48988d1aa941735
College Rec Center,4bf58dd8d48988d1a9941735
College Residence Hall,4bf58dd8d48988d1a3941735
College Science Building,4bf58dd8d48988d19b941735
College Soccer Field,4bf58dd8d48988d1b7941735
College Stadium,4bf58dd8d48988d1b4941735
College Technology Building,4bf58dd8d48988d19f941735
College Tennis Court,4e39a9cebd410d7aed40cbc4
College Theater,4bf58dd8d48988d1ac941735
College Track,4bf58dd8d48988d1b6941735
Colombian Restaurant,58daa1558bbb0b01f18ec1f4
Comedy Club,4bf58dd8d48988d18e941735
Comfort Food Restaurant,52e81612bcbc57f1066b7a00
Comic Shop,52f2ab2ebcbc57f1066b8b18
Community Center,52e81612bcbc57f1066b7a34
Community College,4bf58dd8d48988d1a2941735
Concert Hall,5032792091d4c4b30a586d5c
Conference,5267e4d9e4b0ec79466e48c6
Conference Room,4bf58dd8d48988d127941735
Confucian Temple,56aa371be4b08b9a8d5734fc
Construction & Landscaping,5454144b498ec1f095bff2f2
Convenience Store,4d954b0ea243a5684a65b473
Convention,5267e4d9e4b0ec79466e48c9
Convention Center,4bf58dd8d48988d1ff931735
Cooking School,58daa1558bbb0b01f18ec200
Corporate Amenity,5665ef1d498ec706735f0e59
Corporate Cafeteria,54f4ba06498e2cf5561da814
Corporate Coffee Shop,5665c7b9498e7d8a4f2c0f06
Corsican Restaurant,57558b36e4b065ecebd306d1
Cosmetics Shop,4bf58dd8d48988d10c951735
Costume Shop,52f2ab2ebcbc57f1066b8b17
Country,530e33ccbcbc57f1066bbff7
Country Dance Club,52e81612bcbc57f1066b79ef
County,5345731ebcbc57f1066c39b2
Courthouse,4bf58dd8d48988d12b941735
Coworking Space,4bf58dd8d48988d174941735
Credit Union,5032850891d4c4b30a586d62
Creperie,52e81612bcbc57f1066b79f2
Cretan Restaurant,53d6c1b0e4b02351e88a83e2
Cricket Ground,4bf58dd8d48988d18a941735
Cruise,55077a22498e5e9248869ba2
Cuban Restaurant,4bf58dd8d48988d154941735
Cultural Center,52e81612bcbc57f1066b7a32
Cupcake Shop,4bf58dd8d48988d1bc941735
Curling Ice,56aa371be4b08b9a8d57351a
Currency Exchange,5744ccdfe4b0c0459246b4be
Currywurst Joint,56aa371ce4b08b9a8d57358b
Cycle Studio,52f2ab2ebcbc57f1066b8b49
Czech Restaurant,52f2ae52bcbc57f1066b8b81
Dairy Store,58daa1558bbb0b01f18ec1ca
Dance Studio,4bf58dd8d48988d134941735
Daycare,4f4532974b9074f6e4fb0104
Deli / Bodega,4bf58dd8d48988d146941735
Dentist's Office,4bf58dd8d48988d178941735
Department Store,4bf58dd8d48988d1f6941735
Design Studio,4bf58dd8d48988d1f4941735
Dessert Shop,4bf58dd8d48988d1d0941735
Dhaba,54135bf5e4b08f3d2429dfe1
Dim Sum Restaurant,4bf58dd8d48988d1f5931735
Diner,4bf58dd8d48988d147941735
Disc Golf,52e81612bcbc57f1066b79e8
Discount Store,52dea92d3cf9994f4e043dbb
Distillery,4e0e22f5a56208c4ea9a85a0
Distribution Center,52e81612bcbc57f1066b7a37
Dive Bar,4bf58dd8d48988d118941735
Dive Shop,52f2ab2ebcbc57f1066b8b1a
Dive Spot,52e81612bcbc57f1066b7a12
Dizi Place,58daa1558bbb0b01f18ec1c0
Doctor's Office,4bf58dd8d48988d177941735
Dog Run,4bf58dd8d48988d1e5941735
Donburi Restaurant,55a59bace4b013909087cb0c
Doner Restaurant,5283c7b4e4b094cb91ec88d8
Dongbei Restaurant,52af3a9f3cf9994f4e043bef
Donut Shop,4bf58dd8d48988d148941735
Dosa Place,54135bf5e4b08f3d2429dfe3
Drive-in Theater,56aa371be4b08b9a8d5734de
Driving School,52e81612bcbc57f1066b7a42
Drugstore,5745c2e4498e11e7bccabdbd
Dry Cleaner,52f2ab2ebcbc57f1066b8b1d
Dumpling Restaurant,4bf58dd8d48988d108941735
Dutch Restaurant,5744ccdfe4b0c0459246b4d0
Duty-free Shop,589ddde98ae3635c072819ee
EV Charging Station,5032872391d4c4b30a586d64
Eastern European Restaurant,4bf58dd8d48988d109941735
Egyptian Restaurant,5bae9231bedf3950379f89e1
Electronics Store,4bf58dd8d48988d122951735
Elementary School,4f4533804b9074f6e4fb0105
Embassy / Consulate,4bf58dd8d48988d12c951735
Emergency Room,4bf58dd8d48988d194941735
Emilia Restaurant,55a5a1ebe4b013909087cb89
Empada House,5294c55c3cf9994f4e043a61
Empanada Restaurant,52939a8c3cf9994f4e043a35
English Restaurant,52e81612bcbc57f1066b7a05
Entertainment Service,56aa371be4b08b9a8d573554
Erotic Museum,559acbe0498e472f1a53fa23
Estaminet,57558b36e4b065ecebd306b4
Ethiopian Restaurant,4bf58dd8d48988d10a941735
Event,4d4b7105d754a06373d81259
Event Service,5454152e498ef71e2b9132c6
Event Space,4bf58dd8d48988d171941735
Exhibit,56aa371be4b08b9a8d573532
Eye Doctor,522e32fae4b09b556e370f19
Fabric Shop,52f2ab2ebcbc57f1066b8b26
Factory,4eb1bea83b7b6f98df247e06
Fair,4eb1daf44b900d56c88a4600
Falafel Restaurant,4bf58dd8d48988d10b941735
Farm,4bf58dd8d48988d15b941735
Farmers Market,4bf58dd8d48988d1fa941735
Fast Food Restaurant,4bf58dd8d48988d16e941735
Festival,5267e4d9e4b0ec79466e48c7
Field,4bf58dd8d48988d15f941735
Filipino Restaurant,4eb1bd1c3b7b55596b4a748f
Film Studio,56aa371be4b08b9a8d573523
Financial or Legal Service,503287a291d4c4b30a586d65
Fire Station,4bf58dd8d48988d12c941735
Fireworks Store,52f2ab2ebcbc57f1066b8b3a
Fish & Chips Shop,4edd64a0c7ddd24ca188df1a
Fish Market,4bf58dd8d48988d10e951735
Fish Taverna,53d6c1b0e4b02351e88a83d8
Fishing Spot,52e81612bcbc57f1066b7a0f
Fishing Store,52f2ab2ebcbc57f1066b8b16
Flea Market,4bf58dd8d48988d1f7941735
Flight School,52e81612bcbc57f1066b7a49
Floating Market,56aa371be4b08b9a8d573505
Flower Shop,4bf58dd8d48988d11b951735
Fondue Restaurant,52e81612bcbc57f1066b7a09
Food,4d4b7105d754a06374d81259
Food & Drink Shop,4bf58dd8d48988d1f9941735
Food Court,4bf58dd8d48988d120951735
Food Service,56aa371be4b08b9a8d573550
Food Stand,56aa371be4b08b9a8d57350b
Food Truck,4bf58dd8d48988d1cb941735
Football Stadium,4bf58dd8d48988d189941735
Forest,52e81612bcbc57f1066b7a23
Fountain,56aa371be4b08b9a8d573547
Frame Store,52f2ab2ebcbc57f1066b8b24
Franconian Restaurant,56aa371ce4b08b9a8d573574
Fraternity House,4bf58dd8d48988d1b0941735
French Restaurant,4bf58dd8d48988d10c941735
Fried Chicken Joint,4d4ae6fc7a7b7dea34424761
Friterie,55d25775498e9f6a0816a37a
Friuli Restaurant,55a5a1ebe4b013909087cb9b
Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af
Fruit & Vegetable Store,52f2ab2ebcbc57f1066b8b1c
Fujian Restaurant,52af3aaa3cf9994f4e043bf0
Funeral Home,4f4534884b9074f6e4fb0174
Furniture / Home Store,4bf58dd8d48988d1f8941735
Gaming Cafe,4bf58dd8d48988d18d941735
Garden,4bf58dd8d48988d15a941735
Garden Center,4eb1c0253b7b52c0e1adc2e9
Gas Station,4bf58dd8d48988d113951735
Gastropub,4bf58dd8d48988d155941735
Gay Bar,4bf58dd8d48988d1d8941735
General College & University,4bf58dd8d48988d1a8941735
General Entertainment,4bf58dd8d48988d1f1931735
General Travel,4bf58dd8d48988d1f6931735
German Pop-Up Restaurant,56aa371ce4b08b9a8d573592
German Restaurant,4bf58dd8d48988d10d941735
Gift Shop,4bf58dd8d48988d128951735
Gilaki Restaurant,58daa1558bbb0b01f18ec1c4
Gluten-free Restaurant,4c2cd86ed066bed06c3c5209
Go Kart Track,52e81612bcbc57f1066b79ea
Goan Restaurant,54135bf5e4b08f3d2429dfe8
Goiano Restaurant,52939af83cf9994f4e043a3d
Golf Course,4bf58dd8d48988d1e6941735
Golf Driving Range,58daa1558bbb0b01f18ec1b0
Gourmet Shop,4bf58dd8d48988d1f5941735
Government Building,4bf58dd8d48988d126941735
Gozleme Place,5283c7b4e4b094cb91ec88d9
Greek Restaurant,4bf58dd8d48988d10e941735
Grilled Meat Restaurant,53d6c1b0e4b02351e88a83d6
Grocery Store,4bf58dd8d48988d118951735
Guizhou Restaurant,52af3ab53cf9994f4e043bf1
Gujarati Restaurant,54135bf5e4b08f3d2429dfe9
Gukbap Restaurant,56aa371be4b08b9a8d5734e7
Gun Range,52e81612bcbc57f1066b7a11
Gun Shop,52f2ab2ebcbc57f1066b8b19
Gym,4bf58dd8d48988d176941735
Gym / Fitness Center,4bf58dd8d48988d175941735
Gym Pool,4bf58dd8d48988d105941735
Gymnastics Gym,52f2ab2ebcbc57f1066b8b48
Hainan Restaurant,52af3abe3cf9994f4e043bf2
Hakka Restaurant,52af3ac83cf9994f4e043bf3
Halal Restaurant,52e81612bcbc57f1066b79ff
Harbor / Marina,4bf58dd8d48988d1e0941735
Hardware Store,4bf58dd8d48988d112951735
Hawaiian Restaurant,52e81612bcbc57f1066b79fe
Health & Beauty Service,54541900498ea6ccd0202697
Health Food Store,50aa9e744b90af0d42d5de0e
Heliport,56aa371ce4b08b9a8d57356e
Henan Restaurant,52af3ad23cf9994f4e043bf4
Herbs & Spices Store,52f2ab2ebcbc57f1066b8b2c
High School,4bf58dd8d48988d13d941735
Hill,5bae9231bedf3950379f89cd
Himalayan Restaurant,52e81612bcbc57f1066b79fb
Hindu Temple,52e81612bcbc57f1066b7a3f
Historic Site,4deefb944765f83613cdba6e
History Museum,4bf58dd8d48988d190941735
Hobby Shop,4bf58dd8d48988d1fb941735
Hockey Arena,4bf58dd8d48988d185941735
Hockey Field,4f452cd44b9081a197eba860
Hockey Rink,56aa371be4b08b9a8d57352c
Home (private),4bf58dd8d48988d103941735
Home Service,545419b1498ea6ccd0202f58
Hong Kong Restaurant,52af3add3cf9994f4e043bf5
Hookah Bar,4bf58dd8d48988d119941735
Hospital,4bf58dd8d48988d196941735
Hospital Ward,58daa1558bbb0b01f18ec1f7
Hostel,4bf58dd8d48988d1ee931735
Hot Dog Joint,4bf58dd8d48988d16f941735
Hot Spring,4bf58dd8d48988d160941735
Hotel,4bf58dd8d48988d1fa931735
Hotel Bar,4bf58dd8d48988d1d5941735
Hotel Pool,4bf58dd8d48988d132951735
Hotpot Restaurant,52af0bd33cf9994f4e043bdd
Housing Development,4f2a210c4b9023bd5841ed28
Huaiyang Restaurant,52af3af23cf9994f4e043bf7
Hubei Restaurant,52af3ae63cf9994f4e043bf6
Hunan Restaurant,52af3afc3cf9994f4e043bf8
Hungarian Restaurant,52e81612bcbc57f1066b79fa
Hunting Supply,50aaa5234b90af0d42d5de12
Hyderabadi Restaurant,54135bf5e4b08f3d2429dfe6
IT Services,52f2ab2ebcbc57f1066b8b36
Ice Cream Shop,4bf58dd8d48988d1c9941735
Imperial Restaurant,52af3b053cf9994f4e043bf9
Indian Chinese Restaurant,54135bf5e4b08f3d2429dfdf
Indian Restaurant,4bf58dd8d48988d10f941735
Indian Sweet Shop,54135bf5e4b08f3d2429dfe4
Indie Movie Theater,4bf58dd8d48988d17e941735
Indie Theater,4bf58dd8d48988d135941735
Indonesian Meatball Place,52960eda3cf9994f4e043acc
Indonesian Restaurant,4deefc054765f83613cdba6f
Indoor Play Area,5744ccdfe4b0c0459246b4b5
Industrial Estate,56aa371be4b08b9a8d5734d7
Inn,5bae9231bedf3950379f89cb
Insurance Office,58daa1558bbb0b01f18ec1f1
Internet Cafe,4bf58dd8d48988d1f0941735
Intersection,52f2ab2ebcbc57f1066b8b4c
Irani Cafe,54135bf5e4b08f3d2429dfe7
Iraqi Restaurant,5bae9231bedf3950379f89e7
Irish Pub,52e81612bcbc57f1066b7a06
Island,50aaa4314b90af0d42d5de10
Israeli Restaurant,56aa371be4b08b9a8d573529
Italian Restaurant,4bf58dd8d48988d110941735
Jain Restaurant,54135bf5e4b08f3d2429dfea
Janguh Restaurant,56aa371be4b08b9a8d5734ed
Japanese Curry Restaurant,55a59bace4b013909087cb30
Japanese Restaurant,4bf58dd8d48988d111941735
Javanese Restaurant,52960eda3cf9994f4e043ac7
Jazz Club,4bf58dd8d48988d1e7931735
Jegaraki,58daa1558bbb0b01f18ec1c7
Jewelry Store,4bf58dd8d48988d111951735
Jewish Restaurant,52e81612bcbc57f1066b79fd
Jiangsu Restaurant,52af3b213cf9994f4e043bfa
Jiangxi Restaurant,52af3b293cf9994f4e043bfb
Juice Bar,4bf58dd8d48988d112941735
Kafenio,53d6c1b0e4b02351e88a83e6
Kaiseki Restaurant,55a59bace4b013909087cb21
Karaoke Bar,4bf58dd8d48988d120941735
Karaoke Box,5744ccdfe4b0c0459246b4bb
